entity_id,state,last_changed
sensor.co2_mh_z19_co2_value,1313,2025-02-20T23:55:46.187Z
sensor.co2_mh_z19_co2_value,1275,2025-02-20T23:56:46.186Z
sensor.co2_mh_z19_co2_value,1274,2025-02-20T23:57:46.187Z
sensor.co2_mh_z19_co2_value,1291,2025-02-20T23:58:46.197Z
sensor.co2_mh_z19_co2_value,1290,2025-02-20T23:59:46.205Z
sensor.co2_mh_z19_co2_value,1291,2025-02-21T00:00:46.191Z
sensor.co2_mh_z19_co2_value,1288,2025-02-21T00:01:46.188Z
sensor.co2_mh_z19_co2_value,1291,2025-02-21T00:02:46.190Z
sensor.co2_mh_z19_co2_value,1303,2025-02-21T00:03:46.188Z
sensor.co2_mh_z19_co2_value,1323,2025-02-21T00:04:46.195Z
sensor.co2_mh_z19_co2_value,1302,2025-02-21T00:05:46.191Z
sensor.co2_mh_z19_co2_value,1296,2025-02-21T00:06:46.197Z
sensor.co2_mh_z19_co2_value,1332,2025-02-21T00:07:46.192Z
sensor.co2_mh_z19_co2_value,1356,2025-02-21T00:08:46.198Z
sensor.co2_mh_z19_co2_value,1361,2025-02-21T00:09:46.191Z
sensor.co2_mh_z19_co2_value,1353,2025-02-21T00:11:46.198Z
sensor.co2_mh_z19_co2_value,1349,2025-02-21T00:12:46.193Z
sensor.co2_mh_z19_co2_value,1378,2025-02-21T00:13:46.198Z
sensor.co2_mh_z19_co2_value,1406,2025-02-21T00:14:46.204Z
sensor.co2_mh_z19_co2_value,1380,2025-02-21T00:15:46.197Z
sensor.co2_mh_z19_co2_value,1347,2025-02-21T00:16:46.215Z
sensor.co2_mh_z19_co2_value,1365,2025-02-21T00:17:46.198Z
sensor.co2_mh_z19_co2_value,1357,2025-02-21T00:18:46.192Z
sensor.co2_mh_z19_co2_value,1384,2025-02-21T00:19:46.195Z
sensor.co2_mh_z19_co2_value,1375,2025-02-21T00:20:46.205Z
sensor.co2_mh_z19_co2_value,1377,2025-02-21T00:21:46.193Z
sensor.co2_mh_z19_co2_value,1387,2025-02-21T00:22:46.198Z
sensor.co2_mh_z19_co2_value,1369,2025-02-21T00:23:46.195Z
sensor.co2_mh_z19_co2_value,1377,2025-02-21T00:24:46.197Z
sensor.co2_mh_z19_co2_value,1390,2025-02-21T00:25:46.197Z
sensor.co2_mh_z19_co2_value,1376,2025-02-21T00:26:46.195Z
sensor.co2_mh_z19_co2_value,1400,2025-02-21T00:27:46.196Z
sensor.co2_mh_z19_co2_value,1408,2025-02-21T00:28:46.197Z
sensor.co2_mh_z19_co2_value,1401,2025-02-21T00:30:46.309Z
sensor.co2_mh_z19_co2_value,1407,2025-02-21T00:31:46.197Z
sensor.co2_mh_z19_co2_value,1408,2025-02-21T00:32:46.198Z
sensor.co2_mh_z19_co2_value,1429,2025-02-21T00:33:46.199Z
sensor.co2_mh_z19_co2_value,1424,2025-02-21T00:34:46.208Z
sensor.co2_mh_z19_co2_value,1409,2025-02-21T00:35:46.198Z
sensor.co2_mh_z19_co2_value,1402,2025-02-21T00:37:46.199Z
sensor.co2_mh_z19_co2_value,1417,2025-02-21T00:38:46.201Z
sensor.co2_mh_z19_co2_value,1424,2025-02-21T00:39:46.198Z
sensor.co2_mh_z19_co2_value,1412,2025-02-21T00:40:46.205Z
sensor.co2_mh_z19_co2_value,1418,2025-02-21T00:41:46.282Z
sensor.co2_mh_z19_co2_value,1419,2025-02-21T00:42:46.199Z
sensor.co2_mh_z19_co2_value,1425,2025-02-21T00:43:46.203Z
sensor.co2_mh_z19_co2_value,1438,2025-02-21T00:44:46.206Z
sensor.co2_mh_z19_co2_value,1452,2025-02-21T00:45:46.207Z
sensor.co2_mh_z19_co2_value,1442,2025-02-21T00:46:46.216Z
sensor.co2_mh_z19_co2_value,1435,2025-02-21T00:47:46.201Z
sensor.co2_mh_z19_co2_value,1428,2025-02-21T00:48:46.213Z
sensor.co2_mh_z19_co2_value,1424,2025-02-21T00:49:46.209Z
sensor.co2_mh_z19_co2_value,1421,2025-02-21T00:50:46.205Z
sensor.co2_mh_z19_co2_value,1433,2025-02-21T00:52:46.204Z
sensor.co2_mh_z19_co2_value,1441,2025-02-21T00:53:46.204Z
sensor.co2_mh_z19_co2_value,1449,2025-02-21T00:54:46.210Z
sensor.co2_mh_z19_co2_value,1417,2025-02-21T00:55:46.209Z
sensor.co2_mh_z19_co2_value,1421,2025-02-21T00:56:46.282Z
sensor.co2_mh_z19_co2_value,1411,2025-02-21T00:57:46.206Z
sensor.co2_mh_z19_co2_value,1403,2025-02-21T00:58:46.211Z
sensor.co2_mh_z19_co2_value,1424,2025-02-21T00:59:46.205Z
sensor.co2_mh_z19_co2_value,1399,2025-02-21T01:00:46.209Z
sensor.co2_mh_z19_co2_value,1388,2025-02-21T01:01:46.214Z
sensor.co2_mh_z19_co2_value,1395,2025-02-21T01:02:46.207Z
sensor.co2_mh_z19_co2_value,1399,2025-02-21T01:04:46.205Z
sensor.co2_mh_z19_co2_value,1407,2025-02-21T01:05:46.210Z
sensor.co2_mh_z19_co2_value,1455,2025-02-21T01:06:46.211Z
sensor.co2_mh_z19_co2_value,1471,2025-02-21T01:07:46.210Z
sensor.co2_mh_z19_co2_value,1469,2025-02-21T01:08:46.218Z
sensor.co2_mh_z19_co2_value,1476,2025-02-21T01:09:46.208Z
sensor.co2_mh_z19_co2_value,1471,2025-02-21T01:10:46.207Z
sensor.co2_mh_z19_co2_value,1505,2025-02-21T01:11:46.218Z
sensor.co2_mh_z19_co2_value,1495,2025-02-21T01:12:46.209Z
